0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
28.0,27.0,2287.0,251.0,57.0,48.0,435.0,5320.0,23.0,464.0,3343.0,60.0,423.0,10.0,56.0,1612.0,2.0,243.0,2611.0,231.0,249.0,896.0,1078.0,387.0,12.0,7.0,717.0,181.0,59.0,17.0
19.0,25.0,2159.0,344.0,67.0,46.0,371.0,5061.0,14.0,403.0,2966.0,59.0,379.0,5.0,99.0,1398.0,7.0,180.0,2635.0,192.0,193.0,799.0,944.0,360.0,21.0,7.0,589.0,148.0,62.0,12.0
22.0,37.0,1952.0,1502.0,75.0,61.0,438.0,5140.0,20.0,449.0,3168.0,56.0,400.0,7.0,195.0,1423.0,7.0,192.0,2756.0,184.0,180.0,874.0,1090.0,512.0,19.0,6.0,629.0,164.0,94.0,25.0
18.0,27.0,1963.0,12300.0,75.0,37.0,369.0,5055.0,25.0,397.0,3066.0,48.0,405.0,4.0,74.0,1449.0,2.0,146.0,2530.0,190.0,95.0,1548.0,1097.0,473.0,16.0,5.0,771.0,147.0,83.0,10.0
26.0,27.0,2421.0,797.0,86.0,46.0,471.0,5797.0,17.0,460.0,3323.0,77.0,509.0,7.0,82.0,1678.0,5.0,170.0,2980.0,196.0,127.0,2898.0,1460.0,705.0,12.0,2.0,3222.0,158.0,87.0,24.0
25.0,34.0,2122.0,573.0,69.0,43.0,377.0,5396.0,22.0,520.0,3567.0,77.0,437.0,5.0,94.0,1677.0,6.0,198.0,2879.0,193.0,166.0,1730.0,1285.0,466.0,16.0,5.0,1353.0,166.0,69.0,22.0
23.0,38.0,2175.0,199.0,72.0,41.0,424.0,5468.0,29.0,573.0,4422.0,72.0,397.0,11.0,73.0,1903.0,5.0,214.0,4564.0,168.0,181.0,1357.0,1209.0,428.0,25.0,2.0,695.0,163.0,70.0,28.0
31.0,29.0,2177.0,117.0,56.0,49.0,364.0,5410.0,31.0,488.0,4086.0,68.0,388.0,3.0,75.0,1804.0,3.0,242.0,4696.0,222.0,206.0,1048.0,1201.0,461.0,16.0,5.0,516.0,159.0,69.0,16.0
27.0,30.0,2262.0,84.0,63.0,64.0,377.0,5575.0,27.0,454.0,3802.0,56.0,408.0,11.0,87.0,1837.0,7.0,226.0,4090.0,208.0,229.0,1539.0,1273.0,395.0,17.0,9.0,439.0,170.0,109.0,26.0
18.0,29.0,2194.0,87.0,54.0,34.0,345.0,5432.0,22.0,485.0,3965.0,53.0,448.0,11.0,78.0,1642.0,0.0,182.0,4325.0,161.0,143.0,1143.0,1148.0,335.0,12.0,1.0,457.0,201.0,58.0,23.0
