0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2073.0,654.0,589.0,0.0,213.0,413.0,654.0,215.0,68.0,298.0,13.0,164.0,9.0,5.0,141.0,1824.0,1954.0,31.0,42.0,0.0,51.0,2.0,564.0,661.0,173.0,59.0,0.0,0.0,0.0,0.0
2335.0,671.0,712.0,1.0,217.0,520.0,649.0,198.0,71.0,306.0,28.0,243.0,19.0,2.0,145.0,1843.0,1899.0,56.0,36.0,0.0,404.0,5.0,563.0,830.0,151.0,42.0,0.0,0.0,0.0,0.0
2060.0,760.0,611.0,2.0,153.0,411.0,566.0,231.0,85.0,271.0,18.0,229.0,11.0,1.0,169.0,1652.0,2236.0,27.0,33.0,1.0,50.0,2.0,613.0,696.0,138.0,32.0,0.0,0.0,0.0,0.0
2569.0,770.0,810.0,2.0,171.0,478.0,604.0,196.0,68.0,318.0,32.0,215.0,5.0,4.0,174.0,1982.0,2343.0,26.0,42.0,2.0,52.0,3.0,735.0,772.0,151.0,50.0,0.0,0.0,0.0,0.0
2822.0,771.0,1011.0,1.0,136.0,480.0,682.0,195.0,87.0,335.0,29.0,214.0,12.0,3.0,202.0,1738.0,1889.0,23.0,51.0,2.0,41.0,4.0,736.0,631.0,140.0,80.0,0.0,0.0,0.0,0.0
2495.0,674.0,879.0,4.0,174.0,374.0,705.0,195.0,74.0,311.0,29.0,210.0,4.0,1.0,162.0,1718.0,1668.0,25.0,29.0,1.0,30.0,4.0,525.0,673.0,156.0,69.0,0.0,0.0,0.0,0.0
2076.0,609.0,571.0,0.0,143.0,395.0,642.0,191.0,184.0,301.0,22.0,187.0,4.0,2.0,137.0,1605.0,1672.0,32.0,47.0,1.0,30.0,2.0,548.0,680.0,149.0,68.0,0.0,0.0,0.0,0.0
1919.0,518.0,482.0,1.0,118.0,349.0,518.0,216.0,330.0,297.0,17.0,152.0,9.0,2.0,174.0,1604.0,1668.0,15.0,34.0,0.0,41.0,1.0,559.0,613.0,111.0,68.0,0.0,0.0,0.0,0.0
1934.0,574.0,692.0,2.0,164.0,402.0,605.0,181.0,111.0,260.0,34.0,160.0,13.0,2.0,111.0,1523.0,1649.0,17.0,39.0,2.0,31.0,1.0,1236.0,667.0,130.0,56.0,0.0,0.0,0.0,0.0
1852.0,647.0,727.0,3.0,139.0,351.0,506.0,211.0,82.0,244.0,14.0,135.0,4.0,3.0,117.0,1562.0,1592.0,21.0,55.0,0.0,31.0,3.0,847.0,767.0,117.0,28.0,0.0,0.0,0.0,0.0
3058.0,728.0,730.0,5.0,164.0,445.0,620.0,228.0,74.0,306.0,20.0,191.0,8.0,2.0,164.0,1732.0,1955.0,28.0,62.0,4.0,49.0,1.0,985.0,1006.0,149.0,44.0,0.0,0.0,0.0,0.0
2605.0,667.0,846.0,2.0,128.0,385.0,618.0,205.0,68.0,305.0,19.0,162.0,11.0,5.0,163.0,1528.0,1909.0,16.0,41.0,1.0,44.0,0.0,838.0,815.0,160.0,49.0,0.0,0.0,0.0,0.0
